at least one of these holds : \item d is a dodecahedron , d is small and a is not small \item a is small;WB;21

if c is to the right of d , then b is to the right of c and to the left of e;WB;22

b is in the same row as d;WB;8

d is not in front of c , b is not in back of d , c is not in front of itself and b is not in back of c;WB;29

d is in back of a;WB;6

a is not large , e is not large , e is larger than c and a is larger than c;WB;19

if a is a tetrahedron , then a is a tetrahedron and a is in front of b;WB;17

e is a cube , b is large , e is a cube or d is large;WB;15

at least one of these holds : \item a is small \item c is large , d is large and a is not small;WB;20

a is a cube , c is a cube or e is a cube;WB;13

b is not a dodecahedron , b is in front of d or b is not in back of d;WB;19

all these hold : \item if e is large , then a is large \item if a is large , then e is large;WB;19

a is a cube , c is a cube or e is a cube;WB;13

f is in the same row as a or in back of a;WB;13

if b is a tetrahedron , then b is small;WB;9

d is in the same row as b;WB;8

a is larger than c , e is larger than c , a is not large and e is not large;WB;19

all these hold : \item c is a tetrahedron or b is a cube \item b is a cube or c is a tetrahedron;WB;21

if d is a cube , e is a cube or f is a cube , then c is not medium;WB;19

all these hold : \item d is a cube , c is a cube , d is not small or d is not a cube \item c is not small or c is not a cube;WB;31

b is not in back of d , b is in front of d or b is not a dodecahedron;WB;19

b is not in the same row as c or c is not in the same row as b;WB;19

all these hold : \item c is not to the left of a or a is not to the left of b \item e is not to the right of c or b is not to the right of e;WB;37

e is a cube , c is a cube or a is a cube;WB;13

c is not in the same column as e and e is not in the same column as d;WB;19

a is small or c and d are large;WB;9

max is not a pet and max is a student;WB;10

at least one of these holds : \item e is in front of d \item e is large , e is a tetrahedron and e is not in front of d;WB;27

a is larger than b;WB;5

a is in the same column as d , d is in the same row as e and e is in the same column as b;WB;25

d is larger than b , b is in front of d , e is larger than b and b is in front of e;WB;23

d and e are in back of b;WB;8

d is not in front of c , d is not in front of b , c is not in front of b and c is not in front of itself;WB;29

c is not in front of itself , c is not in front of b , d is not in front of c and d is not in front of b;WB;29

d is of the same shape as e;WB;8

d is to the right of b , d is to the left of b , b is a tetrahedron or d is a tetrahedron;WB;23

if b is a cube and c is a cube , then b is in the same row as c and c is not in the same column as b;WB;29

if c is larger than e , then c is larger than e and b is larger than c;WB;18

d is not in front of b , d is not in front of c , c is not in front of itself and c is not in front of b;WB;29

b is not a dodecahedron , b is not in back of d or b is in front of d;WB;19

if d is to the left of a or a is to the left of d , then a is a cube;WB;21

at least one of these holds : \item b is in front of c and c is in back of b \item c is in front of b and b is in back of c;WB;32

d is not larger than e and d is not smaller than e;WB;13

c is a cube , d is of the same shape as c , d is not small and c is not small;WB;21

if b is a tetrahedron , then b is a tetrahedron and c is not a tetrahedron;WB;16

c is a tetrahedron or b is not a tetrahedron;WB;10

e is of the same size as d;WB;8

if a is large or a is a cube , then a is large and a is a cube;WB;18

all these hold : \item a is a tetrahedron \item e is a tetrahedron or all these hold : \item f is a tetrahedron \item f is not a tetrahedron or e is not a tetrahedron;WB;30

at least one of these holds : \item e is large and e is a tetrahedron \item e is in front of d;WB;20


