reference,formula
A and C are both tetrahedra only if at least one of them is large,~ ( Large ( c ) | Large ( a ) ) $ ~ ( Tet ( a ) & Tet ( c ) )
A and C are both tetrahedra only if at least one of them is large,Large ( a ) | Large ( c ) | ~ ( Tet ( a ) & Tet ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( a ) | Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) & ( Large ( a ) | Large ( c ) ) ) | ~ ( Tet ( a ) & Tet ( c ) )
A and C are both tetrahedra only if at least one of them is large,~ ( Tet ( a ) & Tet ( c ) ) | Large ( a ) | Large ( c )
A and C are both tetrahedra only if at least one of them is large,( ~ Large ( a ) & ~ Large ( c ) ) $ ~ ( Tet ( a ) & Tet ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( ( Large ( a ) & Large ( c ) ) | Large ( a ) | Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ~ ( ~ Large ( a ) & ~ Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( ( Tet ( a ) & Large ( a ) ) | ( Tet ( c ) & Large ( c ) ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( c ) & Tet ( a ) ) $ ( Large ( a ) | Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( ( Large ( a ) & Tet ( a ) ) | ( Large ( c ) & Tet ( c ) ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) & ( Large ( a ) | Large ( c ) ) ) | ~ Tet ( a ) | ~ Tet ( c )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( ~ Large ( a ) $ Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( c ) | ( Large ( a ) & Large ( c ) ) )
A and C are both tetrahedra only if at least one of them is large,~ ( Large ( a ) | Large ( c ) ) $ ~ ( Tet ( a ) & Tet ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( Large ( a ) | Large ( c ) | Large ( a ) | Large ( c ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( a ) & Tet ( c ) ) $ ( Large ( c ) | Large ( a ) )
A and C are both tetrahedra only if at least one of them is large,( Tet ( c ) & Tet ( a ) ) $ ( Large ( c ) | Large ( a ) )
A and C are both tetrahedra only if at least one of them is large,( ( Tet ( a ) & Tet ( c ) ) $ Large ( a ) ) | ( ( Tet ( a ) & Tet ( c ) ) $ Large ( c ) )
"A and E are both larger than C, but neither is large","Larger ( a , c ) & ( Larger ( a , c ) $ Larger ( e , c ) ) & ~ ( Large ( a ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","~ Large ( a ) & ~ Large ( e ) & Larger ( e , c ) & Larger ( a , c )"
"A and E are both larger than C, but neither is large","Larger ( e , c ) & Larger ( a , c ) & ~ Large ( a ) & ~ Large ( e )"
"A and E are both larger than C, but neither is large","~ ( ( Larger ( a , c ) & Larger ( e , c ) ) $ ( Large ( a ) | Large ( e ) ) )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ Large ( a ) & ~ Large ( e )"
"A and E are both larger than C, but neither is large","Larger ( e , c ) & Larger ( a , c ) & ~ Large ( e ) & ~ Large ( a )"
"A and E are both larger than C, but neither is large","Smaller ( c , a ) & Smaller ( c , e ) & ~ Large ( a ) & ~ Large ( e )"
"A and E are both larger than C, but neither is large","~ ( ( Larger ( a , c ) & Larger ( e , c ) ) $ ~ ( ~ Large ( a ) & ~ Large ( e ) ) )"
"A and E are both larger than C, but neither is large","~ Large ( a ) & ~ Large ( e ) & Larger ( a , c ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ ( Large ( a ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ Large ( e ) & ~ Large ( a )"
"A and E are both larger than C, but neither is large","Larger ( e , c ) & Larger ( a , c ) & ~ ( Large ( e ) | Large ( a ) )"
"A and E are both larger than C, but neither is large","~ ( Large ( a ) | Large ( e ) ) & Larger ( a , c ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & ~ Large ( a ) & Larger ( e , c ) & ~ Large ( e )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & ~ Large ( a ) & ~ Large ( e ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","Larger ( e , c ) & Larger ( a , c ) & ~ ( Large ( a ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","~ ( ~ ( Large ( a ) | Large ( e ) ) $ ~ ( Larger ( a , c ) & Larger ( e , c ) ) )"
"A and E are both larger than C, but neither is large","Smaller ( c , a ) & Smaller ( c , e ) & ~ ( Large ( a ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","~ ( ~ ( Larger ( a , c ) $ ~ Larger ( e , c ) ) $ ~ ~ ( ~ Large ( a ) $ Large ( e ) ) )"
"A and E are both larger than C, but neither is large","~ ( ~ Larger ( a , c ) | ~ Larger ( e , c ) | ~ ~ ( Large ( a ) | Large ( e ) ) )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ ( ~ Large ( e ) $ Large ( a ) )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ ( Large ( a ) | Large ( e ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","~ ( Large ( a ) | Large ( e ) ) & Smaller ( c , a ) & Smaller ( c , e )"
"A and E are both larger than C, but neither is large","~ Large ( a ) & Larger ( a , c ) & Larger ( e , c ) & ~ Large ( e )"
"A and E are both larger than C, but neither is large","~ ( Larger ( a , c ) $ Large ( a ) ) & ~ ( Larger ( e , c ) $ Large ( e ) )"
"A and E are both larger than C, but neither is large","~ Large ( a ) & ~ Large ( e ) & Smaller ( c , a ) & Smaller ( c , e )"
"A and E are both larger than C, but neither is large","~ ( ( Larger ( e , c ) & Larger ( a , c ) ) $ ~ ( ~ Large ( a ) & ~ Large ( e ) ) )"
"A and E are both larger than C, but neither is large","~ Large ( e ) & ~ Large ( a ) & Larger ( e , c ) & Larger ( a , c )"
"A and E are both larger than C, but neither is large","~ ( ~ Larger ( a , c ) | ~ Larger ( e , c ) ) & ~ ( Large ( a ) | Large ( e ) )"
"A and E are both larger than C, but neither is large","~ ( Large ( e ) | Large ( a ) ) & Larger ( a , c ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","~ ( Large ( a ) | Large ( e ) | ~ Larger ( a , c ) | ~ Larger ( e , c ) )"
"A and E are both larger than C, but neither is large","~ Large ( e ) & ~ Large ( a ) & Larger ( a , c ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","~ Large ( a ) & Larger ( a , c ) & ~ Large ( e ) & Larger ( e , c )"
"A and E are both larger than C, but neither is large","~ ( Large ( a ) | Large ( e ) ) & Larger ( e , c ) & Larger ( a , c )"
"A and E are both larger than C, but neither is large","~ ( ( Larger ( a , c ) & Larger ( e , c ) ) $ ( ~ Large ( a ) $ Large ( e ) ) )"
"A and E are both larger than C, but neither is large","~ ( Larger ( a , c ) $ ( Larger ( e , c ) $ ( ~ Large ( a ) $ Large ( e ) ) ) )"
"A and E are both larger than C, but neither is large","~ ( ~ ( Larger ( a , c ) $ ~ Larger ( e , c ) ) $ ( ~ Large ( a ) $ Large ( e ) ) )"
"A and E are both larger than C, but neither is large","Larger ( a , c ) & Larger ( e , c ) & ~ ( Large ( e ) | Large ( a ) )"
A is a cube,Cube ( a )
A is a tetrahedron but C isn't large,~ ( Tet ( a ) $ Large ( c ) )
A is a tetrahedron but C isn't large,Tet ( a ) & ~ Large ( c )
A is a tetrahedron but C isn't large,~ Large ( c ) & Tet ( a )
A is a tetrahedron but C isn't large,~ ( ~ Tet ( a ) | Large ( c ) )
A is a tetrahedron but C isn't large,~ ( Tet ( a ) $ ~ ~ Large ( c ) )
A is a tetrahedron only if it is in front of B,"~ FrontOf ( a , b ) $ ~ Tet ( a )"
A is a tetrahedron only if it is in front of B,"( Tet ( a ) & FrontOf ( a , b ) ) | ~ Tet ( a )"
A is a tetrahedron only if it is in front of B,"~ Tet ( a ) | ( FrontOf ( a , b ) & Tet ( a ) )"
A is a tetrahedron only if it is in front of B,"~ ( Tet ( a ) & ~ FrontOf ( a , b ) )"
A is a tetrahedron only if it is in front of B,"FrontOf ( a , b ) | ~ Tet ( a )"
A is a tetrahedron only if it is in front of B,"Tet ( a ) $ FrontOf ( a , b )"
