f is not large , f is a cube or f is a dodecahedron;WB;13

it is not the case that d or c is in front of b and d is not in front of c;WB;22

b is in the same row as d;WB;8

d is larger than b , e is larger than b , b is in front of d and b is in front of e;WB;23

it is not the case that e or a is to the right of c and to the left of b;WB;21

all these hold : \item a is a tetrahedron \item e is a tetrahedron or f is a tetrahedron;WB;16

f is to the right of a and to the left of b;WB;13

if c is small and d is a dodecahedron , then c is small , d is a dodecahedron , d is not large and d is not small;WB;26

d is a tetrahedron , b is a tetrahedron , b is to the left of d or d is to the left of b;WB;23

c is a tetrahedron unless b is a cube;WB;9

a is a tetrahedron and e or f is of the same shape as a;WB;15

c is not in front of b , d is not in front of b , c is not in front of itself and d is not in front of c;WB;29

d is a cube , c is a cube , d is not small and c is not small;WB;17

c is in back of a and in front of e;WB;11

c is a cube , c is not small , d is not small and c is of the same shape as d;WB;21

a is not large , e is not large , e is larger than c and a is larger than c;WB;19

c is not in front of b , c is not in front of itself , d is not in front of b and d is not in front of c;WB;29

c is in back of a and in front of e;WB;11

if c is a tetrahedron and a is a tetrahedron , then a or c is large;WB;16

e is not large or e is in back of a;WB;11

f is in back of a or smaller than a;WB;10

all these hold : \item a is a tetrahedron , e is a tetrahedron or f is a tetrahedron \item there is a tautology or f is not a tetrahedron;WB;26

d is not in front of b , c is not in front of b , d is not in front of c and c is not in front of itself;WB;29

d or b is large unless e is a cube;WB;10

a is large precisely when d is small;WB;8

if a is a tetrahedron , then a is a tetrahedron and a is in front of d;WB;17

b is in front of d , b is in front of e , d is larger than b and e is larger than b;WB;23

a is a tetrahedron and a is of the same shape as f or of the same shape as e;WB;20

a is to the left of d or to the right of d only if a is a cube;WB;19

d is of the same size as e and e is of the same size as d;WB;17

c is not in front of itself , d is not in front of b , c is not in front of b and d is not in front of c;WB;29

all these hold : \item a or d is small \item a is small or d is a dodecahedron;WB;16

all these hold : \item a is a tetrahedron \item e is a tetrahedron or f is a tetrahedron;WB;16

a is not large , e is not large , e is larger than c and a is larger than c;WB;19

e is larger than b , e is in back of b , d is larger than b and d is in back of b;WB;23

a is a tetrahedron and c is not large;WB;9

if b is a cube and c is a cube , then c is in the same row as b and c is not in the same column as b;WB;29

if a is a tetrahedron and c is a tetrahedron , then a or c is large;WB;16

a is a tetrahedron and c is not large;WB;9

c is of the same size as b;WB;8

d is not in front of b , d is not in front of c , c is not in front of b and c is not in front of itself;WB;29

if e is a cube , d is a cube or f is a cube , then c is not medium;WB;19

a is in front of c and c is in front of e;WB;13

a is a cube , e is a cube or c is a cube;WB;13

a is a tetrahedron and at least one of these holds : \item e is a tetrahedron , f is a tetrahedron and e is not a tetrahedron \item there is a contradiction;WB;29

it is not the case that c or d is in the same column as e;WB;16

all these hold : \item a is small or d is a dodecahedron \item a or d is small;WB;16

a is a cube precisely when a is large;WB;9

d is in the same row as e , b is in the same column as e and a is in the same column as d;WB;25

if b is a tetrahedron , then c is not a tetrahedron;WB;11


