PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));a is not a dodecahedron precisely when b is a pet;WB;11

PConj COr (PAtom (AKind Dodec (IVar (VString "a")))) (PImpl (PBimpl (PAtom (AKind Person (IVar (VString "b")))) (PAtom (AKind Student (IVar (VString "a"))))) (PConj CAnd (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))));at least one of these holds : \item a is a dodecahedron \item if b is a person precisely when a is a student , then a is a tetrahedron and a is a pet;WB;31

PBimpl (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PBimpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PConj CAnd (PAtom (AKind Dodec (IVar (VString "c")))) (PAtom (AKind Student (IVar (VString "b"))))));a is not a cube precisely when a is a student precisely when b is a dodecahedron precisely when c is a dodecahedron and b is a student;NWB;28

PBimpl (PConj CAnd (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Student (IVar (VString "b"))))) (PConj CAnd (PImpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PAtom (AKind Person (IVar (VString "b")))));all these hold : \item if a is a prime , then b is a prime \item b is a student precisely when all these hold : \item if a is a pet , then b is a pet \item b is a person;WB;36

PImpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "a"))))) (PBimpl (PNeg (PAtom (AKind Pet (IVar (VString "a"))))) (PConj COr (PNeg (PAtom (AKind Prime (IVar (VString "a"))))) (PAtom (AKind Person (IVar (VString "b"))))));if a is a student precisely when a is a prime , then a is not a pet precisely when a is not a prime or b is a person;WB;29

PConj CAnd (PAtom (AKind Person (IVar (VString "a")))) (PConj CAnd (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Student (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "a")))));all these hold : \item a is a person , b is a dodecahedron precisely when a is a student \item a is a tetrahedron;WB;21

PImpl (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PAtom (AKind Cube (IVar (VString "b"))));if a is a pet precisely when a is a person precisely when a is a cube precisely when b is a cube , then b is a cube;NWB;28

PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "a"))));a is a prime and a is a student;WB;9

PImpl (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PImpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PNeg (PAtom (AKind Pet (IVar (VString "b"))))));if a is a person precisely when if a is a student , then b is a cube , then b is a dodecahedron precisely when b is not a pet;NWB;29

PBimpl (PImpl (PConj CAnd (PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a"))))) (PAtom (AKind Person (IVar (VString "b"))))) (PAtom (AKind Prime (IVar (VString "a"))))) (PNeg (PAtom (AKind Student (IVar (VString "a")))));if a is a prime , a is a tetrahedron and b is a person , then a is a prime precisely when a is not a student;WB;26

PImpl (PBimpl (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PBimpl (PAtom (AKind Prime (IVar (VString "c")))) (PAtom (AKind Tet (IVar (VString "c")))))) (PNeg (PBimpl (PAtom (AKind Pet (IVar (VString "d")))) (PAtom (AKind Pet (IVar (VString "e"))))));if a is a prime precisely when b is a pet precisely when c is a prime precisely when c is a tetrahedron , then either d is a pet or e is a pet ( but not both );NWB;37

PConj CAnd (PNeg (PBimpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a")))))) (PImpl (PConj COr (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b"))))) (PImpl (PAtom (AKind Tet (IVar (VString "c")))) (PAtom (AKind Cube (IVar (VString "d"))))));all these hold : \item either a is a prime or a is a person ( but not both ) \item if a is a tetrahedron or b is a cube , then if c is a tetrahedron , then d is a cube;NWB;37

PBimpl (PConj COr (PBimpl (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b"))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "c")))) (PAtom (AKind Pet (IVar (VString "d")))))) (PAtom (AKind Student (IVar (VString "b"))));at least one of these holds : \item a is a tetrahedron precisely when b is a cube \item c is a dodecahedron precisely when d is a pet precisely when b is a student;NWB;32

PImpl (PConj CAnd (PAtom (AKind Tet (IVar (VString "b")))) (PAtom (AKind Person (IVar (VString "a"))))) (PAtom (AKind Dodec (IVar (VString "c"))));if b is a tetrahedron and a is a person , then c is a dodecahedron;WB;15

