PBimpl (PNeg (PAtom (AKind Dodec (IVar (VString "a"))))) (PAtom (AKind Pet (IVar (VString "b"))));a is not a dodecahedron if and only if b is a pet;13

PConj COr (PAtom (AKind Dodec (IVar (VString "a")))) (PImpl (PBimpl (PAtom (AKind Person (IVar (VString "b")))) (PAtom (AKind Student (IVar (VString "a"))))) (PConj CAnd (PAtom (AKind Tet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "a"))))));at least one of these holds : \item a is a dodecahedron \item if b is a person if and only if a is a student , then a is a tetrahedron and a is a pet;33

PBimpl (PNeg (PAtom (AKind Cube (IVar (VString "a"))))) (PBimpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Dodec (IVar (VString "b"))))) (PConj CAnd (PAtom (AKind Dodec (IVar (VString "c")))) (PAtom (AKind Student (IVar (VString "b"))))));a is not a cube if and only if a is a student if and only if b is a dodecahedron if and only if c is a dodecahedron and b is a student;34

PBimpl (PConj CAnd (PImpl (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "b"))))) (PAtom (AKind Student (IVar (VString "b"))))) (PConj CAnd (PImpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Pet (IVar (VString "b"))))) (PAtom (AKind Person (IVar (VString "b")))));all these hold : \item if a is a prime , then b is a prime \item b is a student if and only if all these hold : \item if a is a pet , then b is a pet \item b is a person;38

PImpl (PBimpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Prime (IVar (VString "a"))))) (PBimpl (PNeg (PAtom (AKind Pet (IVar (VString "a"))))) (PConj COr (PNeg (PAtom (AKind Prime (IVar (VString "a"))))) (PAtom (AKind Person (IVar (VString "b"))))));if a is a student if and only if a is a prime , then a is not a pet if and only if a is not a prime or b is a person;33

PConj CAnd (PAtom (AKind Person (IVar (VString "a")))) (PConj CAnd (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PAtom (AKind Student (IVar (VString "a"))))) (PAtom (AKind Tet (IVar (VString "a")))));all these hold : \item a is a person , b is a dodecahedron if and only if a is a student \item a is a tetrahedron;23

PImpl (PBimpl (PBimpl (PAtom (AKind Pet (IVar (VString "a")))) (PAtom (AKind Person (IVar (VString "a"))))) (PBimpl (PAtom (AKind Cube (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PAtom (AKind Cube (IVar (VString "b"))));if a is a pet if and only if a is a person if and only if a is a cube if and only if b is a cube , then b is a cube;34

PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Student (IVar (VString "a"))));a is a prime and a is a student;9

PImpl (PBimpl (PAtom (AKind Person (IVar (VString "a")))) (PImpl (PAtom (AKind Student (IVar (VString "a")))) (PAtom (AKind Cube (IVar (VString "b")))))) (PBimpl (PAtom (AKind Dodec (IVar (VString "b")))) (PNeg (PAtom (AKind Pet (IVar (VString "b"))))));if a is a person if and only if if a is a student , then b is a cube , then b is a dodecahedron if and only if b is not a pet;33

PBimpl (PImpl (PConj CAnd (PConj CAnd (PAtom (AKind Prime (IVar (VString "a")))) (PAtom (AKind Tet (IVar (VString "a"))))) (PAtom (AKind Person (IVar (VString "b"))))) (PAtom (AKind Prime (IVar (VString "a"))))) (PNeg (PAtom (AKind Student (IVar (VString "a")))));if a is a prime , a is a tetrahedron and b is a person , then a is a prime if and only if a is not a student;28

